Internal1,Internal1,Internal1,Internal2,Internal2,Internal2,Internal3,Internal3,Internal3,Internal4,Internal4,Internal4
370.933,1122.17,134.927,376.944,1085.67,135.002,362.38,1065.38,122.206,376.96,1122.93,99.8178
370.947,1122.16,134.929,376.941,1085.66,134.997,362.366,1065.36,122.211,376.975,1122.95,99.829
370.94,1122.17,134.925,376.958,1085.61,134.987,362.379,1065.37,122.21,376.952,1122.93,99.8232
370.938,1122.16,134.924,376.942,1085.61,134.988,362.352,1065.37,122.203,376.957,1122.94,99.835
370.938,1122.17,134.93,376.933,1085.63,135.004,362.376,1065.36,122.208,376.963,1122.94,99.8248
370.937,1122.14,134.897,376.917,1085.64,134.978,362.385,1065.35,122.216,376.98,1122.96,99.83
370.956,1122.17,134.913,376.923,1085.63,134.988,362.385,1065.36,122.216,376.968,1122.93,99.8136
370.945,1122.16,134.91,376.91,1085.63,134.986,362.373,1065.34,122.216,376.964,1122.93,99.7973
370.938,1122.15,134.932,376.91,1085.6,134.996,362.294,1065.24,122.254,377.02,1123,99.807
370.946,1122.15,134.91,376.921,1085.63,134.981,362.394,1065.33,122.218,376.974,1122.95,99.7914
370.964,1122.15,134.906,376.894,1085.64,134.985,362.377,1065.32,122.205,377.023,1123,99.7998
370.951,1122.16,134.94,376.901,1085.61,135.01,362.385,1065.32,122.223,377.016,1122.99,99.7843
370.95,1122.16,134.918,376.87,1085.59,135.008,362.374,1065.32,122.216,376.969,1122.93,99.7944
370.927,1122.16,134.949,376.881,1085.6,135.017,362.394,1065.31,122.226,376.969,1122.94,99.8011
370.96,1122.16,134.937,376.879,1085.6,135.011,362.392,1065.32,122.211,376.92,1122.95,99.9028
370.965,1122.14,134.904,376.885,1085.61,135,362.389,1065.31,122.212,377.001,1122.98,99.8395
370.932,1122.14,134.911,376.879,1085.63,135,362.396,1065.31,122.213,376.957,1122.94,99.8473
370.947,1122.16,134.945,376.89,1085.59,135.016,362.401,1065.31,122.219,376.988,1122.99,99.8325
370.948,1122.16,134.951,376.896,1085.59,135.02,362.39,1065.29,122.219,376.947,1122.94,99.8462
370.958,1122.16,134.915,376.892,1085.6,134.996,362.409,1065.29,122.218,376.951,1122.93,99.8296
370.952,1122.15,134.946,376.897,1085.6,135.015,362.398,1065.32,122.207,377.003,1122.98,99.8242
370.97,1122.13,134.911,376.893,1085.59,134.989,362.418,1065.32,122.213,376.952,1122.92,99.8275
370.947,1122.15,134.951,376.888,1085.59,135.023,362.409,1065.32,122.213,377.012,1122.97,99.815
370.962,1122.13,134.911,376.896,1085.6,134.989,362.408,1065.31,122.205,376.968,1122.93,99.8119
370.936,1122.14,134.966,376.895,1085.58,135.012,362.394,1065.29,122.231,377.01,1122.97,99.8092
370.962,1122.14,134.922,376.853,1085.56,135.01,362.392,1065.3,122.212,376.958,1122.91,99.7987
370.945,1122.14,134.942,376.893,1085.59,135.021,362.395,1065.3,122.214,376.98,1122.97,99.9014
